"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"서울특별시","0 총지수","2014 년","93.3",
"서울특별시","0 총지수","2015 년","94.47",
"서울특별시","0 총지수","2016 년","95.585",
"서울특별시","0 총지수","2017 년","97.494",
"서울특별시","0 총지수","2018 년","98.799",
"서울특별시","0 총지수","2019 년","99.382",
"서울특별시","0 총지수","2020 년","100",
"서울특별시","0 총지수","2021 년","102.1",
"서울특별시","0 총지수","2022 년","106.69",
"서울특별시","0 총지수","2023 년","110.87",
"서울특별시","01 식료품 및 비주류음료","1985 년","21.291",
"서울특별시","01 식료품 및 비주류음료","1986 년","21.712",
"서울특별시","01 식료품 및 비주류음료","1987 년","22.59",
"서울특별시","01 식료품 및 비주류음료","1988 년","24.878",
"서울특별시","01 식료품 및 비주류음료","1989 년","26.478",
"서울특별시","01 식료품 및 비주류음료","1990 년","29.028",
"서울특별시","01 식료품 및 비주류음료","1991 년","32.154",
"서울특별시","01 식료품 및 비주류음료","1992 년","33.37",
"서울특별시","01 식료품 및 비주류음료","1993 년","34.618",
"서울특별시","01 식료품 및 비주류음료","1994 년","37.794",
"서울특별시","01 식료품 및 비주류음료","1995 년","37.861",
